"PAIS","PROVINCIA"
"REPUBLICA_POPULAR_CHINA","HAINAN"
" ","LA RIOJA"
"HOLANDA","DRENTHE"
"TAILANDIA","PRACHUAP_KHIRI_KHAN"
"ARGENTINA","CONSULADOS"
" ","CORRIENTES"
"ESLOVENIA","IZOLA-ISOLA"
"ARGENTINA","ZUID-HOLLAND"
"REINO_UNIDO","ISLINGTON"
"HONDURAS","OLANCHO"
"RUMANIA","IALOMITA"
"ARGENTINA","VICTORIA_ESTE"
"BIELORRUSIA","BRESTSKAYA_VOBLASTS"
"ARABIA_SAUDITA","AL_MADINAH"
